t_sec,target_kbps,loss_based_kbps,delay_based_kbps,fraction_loss,rtt_ms
4.267,3936,3936,3936,0,2
4.276,3936,3936,3936,0,2
4.302,3936,3936,3936,0,2
4.319,3952,3952,3952,0,2
4.326,3952,3952,3952,0,2
4.350,3952,3952,3952,0,2
4.357,3952,3952,3952,0,3
4.369,3967,3967,3967,0,3
4.377,3967,3967,3967,0,3
4.400,3967,3967,3967,0,2
4.420,3967,3967,3967,0,2
4.427,3967,3967,3967,0,2
4.450,3967,3967,3967,0,2
4.471,3967,3967,3967,0,2
4.476,3967,3967,3967,0,3
4.501,3967,3967,3967,0,3
4.522,3983,3983,3983,0,3
4.526,3983,3983,3983,0,3
4.551,3983,3983,3983,0,2
4.574,3983,3983,3983,0,2
4.576,3983,3983,3983,0,2
4.601,3983,3983,3983,0,3
4.624,3983,3983,3983,0,2
4.626,3983,3983,3983,0,2
4.652,3983,3983,3983,0,2
4.675,3983,3983,3983,0,2
4.675,3983,3983,3983,0,2
4.701,3983,3983,3983,0,2
4.726,3983,3983,3983,0,2
4.726,3998,3998,3998,0,2
4.748,3998,3998,3998,0,3
4.752,3998,3998,3998,0,3
4.776,4014,4014,4014,0,11
4.776,4014,4014,4014,0,11
4.801,4014,4014,4014,0,2
4.827,4014,4014,4014,0,4
4.828,4014,4014,4014,0,4
4.850,4014,4014,4014,0,4
4.877,4014,4014,4014,0,4
4.877,4029,4029,4029,0,2
4.900,4029,4029,4029,0,2
4.923,4029,4029,4029,0,6
4.927,4029,4029,4029,0,6
4.928,4029,4029,4029,0,6
4.951,4029,4029,4029,0,6
4.976,4029,4029,4029,0,2
4.978,4045,4045,4045,0,2
5.001,4045,4045,4045,0,2
5.027,4045,4045,4045,0,2
5.029,4061,4061,4061,0,2
5.050,4061,4061,4061,0,8
5.076,4061,4061,4061,0,3
5.080,4077,4077,4077,0,3
5.099,4077,4077,4077,0,2
5.102,4077,4077,4077,0,2
5.126,4077,4077,4077,0,2
5.129,4092,4092,4092,0,2
5.152,4092,4092,4092,0,3
5.175,4092,4092,4092,0,3
5.180,4108,4108,4108,0,3
5.201,4108,4108,4108,0,3
5.206,4108,4108,4108,0,6
5.227,4108,4108,4108,0,6
5.230,4124,4124,4124,0,6
5.239,4124,4124,4124,0,6
5.251,4124,4124,4124,0,6
5.274,4124,4124,4124,0,2
5.275,4124,4124,4124,0,2
5.281,4124,4124,4124,0,2
5.301,4124,4124,4124,0,2
5.325,4124,4124,4124,0,2
5.332,4140,4140,4140,0,1
5.352,4140,4140,4140,0,1
5.376,4140,4140,4140,0,8
5.382,4156,4156,4156,0,8
5.402,4156,4156,4156,0,3
5.426,4156,4156,4156,0,2
5.432,4173,4173,4173,0,2
5.451,4173,4173,4173,0,8
5.451,4173,4173,4173,0,8
5.477,4173,4173,4173,0,8
5.482,4189,4189,4189,0,8
5.501,4189,4189,4189,0,3
5.525,4189,4189,4189,0,3
5.533,4205,4205,4205,0,3
5.552,4205,4205,4205,0,3
5.557,4205,4205,4205,0,2
5.576,4205,4205,4205,0,2
5.584,4222,4222,4222,0,2
5.602,4222,4222,4222,0,2
5.626,4222,4222,4222,0,2
5.633,4222,4222,4222,0,2
5.652,4222,4222,4222,0,2
5.675,4222,4222,4222,0,5
5.684,4238,4238,4238,0,5
5.702,4238,4238,4238,0,5
5.726,4238,4238,4238,0,9
5.734,4254,4254,4254,0,9
5.750,4254,4254,4254,0,3
5.767,4254,4254,4254,0,2
5.776,4254,4254,4254,0,2
5.785,4271,4271,4271,0,2
5.801,4271,4271,4271,0,3
5.827,4271,4271,4271,0,3
5.836,4288,4288,4288,0,6
5.851,4288,4288,4288,0,6
5.873,4288,4288,4288,0,3
5.875,4288,4288,4288,0,3
5.887,4305,4305,4305,0,3
5.901,4305,4305,4305,0,2
5.927,4305,4305,4305,0,2
5.938,4322,4322,4322,0,2
5.950,4322,4322,4322,0,2
5.977,4322,4322,4322,0,2
5.988,4339,4339,4339,0,2
6.001,4339,4339,4339,0,6
6.026,4339,4339,4339,0,6
6.040,4356,4356,4356,0,6
6.051,4356,4356,4356,0,6
6.077,4356,4356,4356,0,5
6.089,4356,4356,4356,0,5
6.101,4356,4356,4356,0,7
6.125,4356,4356,4356,0,7
6.139,4373,4373,4373,0,7
6.152,4373,4373,4373,0,7
6.155,4373,4373,4373,0,5
6.175,4373,4373,4373,0,5
6.190,4390,4390,4390,0,11
6.201,4390,4390,4390,0,11
6.224,4390,4390,4390,0,2
6.226,4390,4390,4390,0,2
6.239,4406,4406,4406,0,2
6.252,4406,4406,4406,0,2
6.276,4406,4406,4406,0,10
6.290,4424,4424,4424,0,10
6.302,4424,4424,4424,0,10
6.326,4424,4424,4424,0,14
6.341,4441,4441,4441,0,2
6.350,4441,4441,4441,0,2
6.365,4441,4441,4441,0,3
6.376,4441,4441,4441,0,3
6.391,4458,4458,4458,0,3
6.402,4458,4458,4458,0,3
6.425,4458,4458,4458,0,3
6.442,4458,4458,4458,0,3
6.452,4458,4458,4458,0,3
6.472,4458,4458,4458,0,2
6.476,4458,4458,4458,0,2
6.493,4476,4476,4476,0,2
6.500,4476,4476,4476,0,2
6.508,4476,4476,4476,0,12
6.527,4476,4476,4476,0,12
6.542,4476,4476,4476,0,5
6.544,4493,4493,4493,0,5
6.551,4493,4493,4493,0,2
6.576,4493,4493,4493,0,2
6.594,4511,4511,4511,0,2
6.602,4511,4511,4511,0,2
6.625,4511,4511,4511,0,15
6.644,4528,4528,4528,0,15
6.651,4528,4528,4528,0,2
6.677,4528,4528,4528,0,14
6.695,4546,4546,4546,0,14
6.701,4546,4546,4546,0,8
6.725,4546,4546,4546,0,8
6.746,4564,4564,4564,0,8
6.752,4564,4564,4564,0,8
6.775,4564,4564,4564,0,4
6.789,4564,4564,4564,0,11
6.797,4564,4564,4564,0,11
6.802,4564,4564,4564,0,11
6.825,4564,4564,4564,0,13
6.825,4564,4564,4564,0,13
6.847,4582,4582,4582,0,13
6.852,4582,4582,4582,0,3
6.876,4582,4582,4582,0,3
6.894,4582,4582,4582,0,3
6.898,4582,4582,4582,0,3
6.901,4582,4582,4582,0,3
6.927,4582,4582,4582,0,2
6.948,4600,4600,4600,0,2
6.951,4600,4600,4600,0,2
6.975,4600,4600,4600,0,2
7.000,4600,4600,4600,0,2
7.000,4618,4618,4618,0,2
7.026,4618,4618,4618,0,2
7.050,4636,4636,4636,0,2
7.052,4636,4636,4636,0,2
7.077,4636,4636,4636,0,2
7.101,4636,4636,4636,0,16
7.102,4654,4654,4654,0,16
7.126,4654,4654,4654,0,2
7.151,4654,4654,4654,0,2
7.151,4672,4672,4672,0,2
7.176,4672,4672,4672,0,2
7.201,4672,4672,4672,0,2
7.202,4690,4690,4690,0,2
7.226,4690,4690,4690,0,2
7.246,4690,4690,4690,0,3
7.247,4690,4690,4690,0,2
7.250,4690,4690,4690,0,2
7.252,4690,4690,4690,0,2
7.276,4690,4690,4690,0,2
7.301,4690,4690,4690,0,2
7.303,4708,4708,4708,0,2
7.317,4708,4708,4708,0,2
7.327,4708,4708,4708,0,2
7.351,4708,4708,4708,0,2
7.354,4727,4727,4727,0,2
7.376,4727,4727,4727,0,2
7.387,4727,4727,4727,0,3
7.400,4727,4727,4727,0,3
7.405,4746,4746,4746,0,2
7.427,4746,4746,4746,0,2
7.450,4746,4746,4746,0,16
7.456,4764,4764,4764,0,16
7.476,4764,4764,4764,0,16
7.495,4764,4764,4764,0,2
7.501,4764,4764,4764,0,2
7.506,6022,6022,8640,0,2
7.527,6022,6022,8640,0,2
7.550,6022,6022,8640,0,12
7.557,8640,8640,8640,0,12
7.577,8640,8640,8640,0,2
7.600,8640,8640,8640,0,2
7.607,8640,8640,8640,0,2
7.626,8640,8640,8640,0,2
7.650,8640,8640,8640,0,2
7.659,8640,8640,8674,0,4
7.676,8640,8640,8674,0,4
7.702,8640,8640,8674,0,10
7.708,8640,8640,8707,0,10
7.726,8640,8640,8707,0,10
7.741,8640,8640,8707,0,23
7.752,8640,8640,8707,0,23
7.759,8640,8640,8707,0,23
7.776,8640,8640,8707,0,4
7.802,8640,8640,8707,0,5
7.809,8741,8741,8741,0,5
7.825,8741,8741,8741,0,5
7.847,8741,8741,8741,0,5
7.851,8741,8741,8741,0,5
7.860,8741,8741,8741,0,5
7.877,8741,8741,8741,0,17
7.901,8741,8741,8741,0,15
7.911,8776,8776,8776,0,15
7.926,8776,8776,8776,0,15
7.951,8776,8776,8776,0,3
7.960,8776,8776,8776,0,3
7.975,8776,8776,8776,0,2
8.001,8776,8776,8776,0,2
8.011,8810,8810,8810,0,2
8.021,8810,8810,8810,0,28
8.026,8810,8810,8810,0,28
8.051,8810,8810,8810,0,5
8.062,8810,8810,8810,0,5
8.076,8810,8810,8810,0,5
8.093,8810,8810,8810,0,2
8.101,8810,8810,8810,0,2
8.114,8810,8810,8810,0,2
8.125,8810,8810,8810,0,2
8.131,8810,8810,8810,0,2
8.152,8810,8810,8810,0,3
8.164,8844,8844,8844,0,3
8.165,8844,8844,8844,0,4
8.176,8844,8844,8844,0,4
8.198,8844,8844,8844,0,4
8.200,8844,8844,8844,0,4
8.214,8844,8844,8844,0,4
8.227,8844,8844,8844,0,3
8.250,8844,8844,8844,0,3
8.265,8879,8879,8879,0,3
8.276,8879,8879,8879,0,3
8.302,8879,8879,8879,0,4
8.316,8879,8879,8879,0,8
8.325,8879,8879,8879,0,8
8.352,8879,8879,8879,0,7
8.367,8914,8914,8914,0,7
8.375,8914,8914,8914,0,7
8.402,8914,8914,8914,0,2
8.416,8948,8948,8948,0,2
8.426,8948,8948,8948,0,2
8.447,8948,8948,8948,0,2
8.450,8948,8948,8948,0,2
8.467,8983,8983,8983,0,2
8.477,8983,8983,8983,0,31
8.500,8983,8983,8983,0,31
8.516,8983,8983,8983,0,26
8.518,9018,9018,9018,0,26
8.526,9018,9018,9018,0,26
8.551,9018,9018,9018,0,24
8.568,4317,4317,4317,0,13
8.577,4317,4317,4317,0,13
8.601,4317,4317,4317,0,27
8.619,4317,4317,4317,0,27
8.626,4317,4317,4317,0,27
8.652,4317,4317,4317,0,19
8.656,4317,4317,4317,0,17
8.669,4317,4317,4317,0,17
8.675,4317,4317,4317,0,17
8.701,4317,4317,4317,0,17
8.719,4333,4333,4333,0,11
8.726,4333,4333,4333,0,6
8.752,4333,4333,4333,0,6
8.769,4350,4350,4350,0,6
8.776,4350,4350,4350,0,2
8.801,4350,4350,4350,0,2
8.820,4367,4367,4367,0,2
8.827,4367,4367,4367,0,2
8.850,4367,4367,4367,0,2
8.871,4384,4384,4384,0,3
8.877,4384,4384,4384,0,3
8.901,4384,4384,4384,0,2
8.922,4401,4401,4401,0,2
8.926,4401,4401,4401,0,2
8.938,4401,4401,4401,0,2
8.952,4401,4401,4401,0,2
8.972,4401,4401,4401,0,3
8.973,4419,4419,4419,0,3
8.976,4419,4419,4419,0,3
9.001,4419,4419,4419,0,2
9.023,4436,4436,4436,0,2
9.026,4436,4436,4436,0,2
9.050,4436,4436,4436,0,2
9.073,4453,4453,4453,0,2
9.077,4453,4453,4453,0,2
9.100,4453,4453,4453,0,2
9.112,4453,4453,4453,0,3
9.124,4470,4470,4470,0,3
9.127,4470,4470,4470,0,3
9.147,4470,4470,4470,0,2
9.150,4470,4470,4470,0,2
9.175,4488,4488,4488,0,2
9.177,4488,4488,4488,0,2
9.201,4488,4488,4488,0,3
9.225,4488,4488,4488,0,3
9.226,4506,4506,4506,0,3
9.251,4506,4506,4506,0,2
9.277,4506,4506,4506,0,2
9.277,4523,4523,4523,0,2
9.287,4523,4523,4523,0,3
9.300,4523,4523,4523,0,3
9.324,4523,4523,4523,0,7
9.327,4523,4523,4523,0,7
9.327,4541,4541,4541,0,7
9.351,4541,4541,4541,0,7
9.376,4541,4541,4541,0,8
9.377,4558,4558,4558,0,8
9.402,4558,4558,4558,0,3
9.425,4558,4558,4558,0,2
9.428,4558,4558,4558,0,2
9.451,4558,4558,4558,0,5
9.475,4558,4558,4558,0,5
9.478,4576,4576,4576,0,5
9.497,4576,4576,4576,0,2
9.501,4576,4576,4576,0,2
9.527,4576,4576,4576,0,2
9.528,9660,9660,9660,0,2
9.550,9660,9660,9660,0,3
9.576,9660,9660,9660,0,3
9.579,9660,9660,9660,0,3
9.601,9660,9660,9660,0,2
9.627,9660,9660,9660,0,2
9.629,9660,9660,9660,0,2
9.651,9660,9660,9660,0,2
9.675,9660,9660,9660,0,17
9.676,9660,9660,9660,0,17
9.680,9660,9660,9660,0,17
9.701,9660,9660,9660,0,17
9.726,9660,9660,9660,0,2
9.731,9660,9660,9660,0,2
9.746,9660,9660,9660,0,2
9.751,9660,9660,9660,0,2
9.776,9660,9660,9660,0,2
9.783,9699,9699,9699,0,2
9.800,9699,9699,9699,0,3
9.826,9699,9699,9699,0,3
9.832,9699,9699,9699,0,2
9.850,9699,9699,9699,0,2
9.876,9699,9699,9699,0,23
9.883,9737,9737,9737,0,11
9.902,9737,9737,9737,0,11
9.926,9737,9737,9737,0,11
9.934,9737,9737,9737,0,11
9.951,9737,9737,9737,0,6
9.976,9737,9737,9737,0,18
9.985,9774,9774,9774,0,18
10.001,9774,9774,9774,0,18
10.027,9774,9774,9774,0,2
10.035,9774,9774,9774,0,2
10.051,9774,9774,9774,0,3
10.077,9774,9774,9774,0,3
10.086,9774,9774,9774,0,3
10.099,9774,9774,9774,0,9
10.100,9774,9774,9774,0,9
10.127,9774,9774,9774,0,10
10.137,9814,9814,9814,0,10
10.151,9814,9814,9814,0,20
10.175,9814,9814,9814,0,20
10.187,9814,9814,9814,0,16
10.202,9814,9814,9814,0,7
10.226,9814,9814,9814,0,7
10.239,9853,9853,9853,0,7
10.251,9853,9853,9853,0,7
10.275,9853,9853,9853,0,19
